"country","province","date","cases","deaths","recovered"
"3423","China","jiangsu",2020-02-29,631,0,523
"3424","China","jiangxi",2020-02-29,935,1,811
"3425","China","jilin",2020-02-29,93,1,75
"3426","China","liaoning",2020-02-29,121,1,96
"3427","China","macau",2020-02-29,10,0,8
"3436","China","ningxia",2020-02-29,73,0,69
"3443","China","qinghai",2020-02-29,18,0,18
"3452","China","shaanxi",2020-02-29,245,1,207
"3453","China","shandong",2020-02-29,756,6,421
"3454","China","shanghai",2020-02-29,337,3,287
"3455","China","shanxi",2020-02-29,133,0,114
"3456","China","sichuan",2020-02-29,538,3,351
"3461","China","tianjin",2020-02-29,136,3,109
"3462","China","tibet",2020-02-29,1,0,1
"3464","China","unknown",2020-02-29,0,0,0
"3468","China","xinjiang",2020-02-29,76,3,62
"3470","China","yunnan",2020-02-29,174,2,157
"3471","China","zhejiang",2020-02-29,1205,1,1016
"3474","China","anhui",2020-03-01,990,6,873
"3477","China","beijing",2020-03-01,413,8,276
"3484","China","chongqing",2020-03-01,576,6,450
"3492","China","fujian",2020-03-01,296,1,247
"3493","China","gansu",2020-03-01,91,2,84
"3498","China","guangdong",2020-03-01,1349,7,1016
"3499","China","guangxi",2020-03-01,252,2,181
"3501","China","guizhou",2020-03-01,146,2,112
"3502","China","hainan",2020-03-01,168,5,149
"3503","China","hebei",2020-03-01,318,6,294
"3504","China","heilongjiang",2020-03-01,480,13,342
"3505","China","henan",2020-03-01,1272,22,1198
"3506","China","hong kong",2020-03-01,96,2,36
"3507","China","hubei",2020-03-01,66907,2761,31536
"3508","China","hunan",2020-03-01,1018,4,866
"3509","China","inner mongolia",2020-03-01,75,0,52
"3512","China","jiangsu",2020-03-01,631,0,536
"3513","China","jiangxi",2020-03-01,935,1,831
"3514","China","jilin",2020-03-01,93,1,78
"3515","China","liaoning",2020-03-01,122,1,103
"3516","China","macau",2020-03-01,10,0,8
"3525","China","ningxia",2020-03-01,73,0,69
"3532","China","qinghai",2020-03-01,18,0,18
"3541","China","shaanxi",2020-03-01,245,1,208
"3542","China","shandong",2020-03-01,758,6,443
"3543","China","shanghai",2020-03-01,337,3,290
"3544","China","shanxi",2020-03-01,133,0,116
"3545","China","sichuan",2020-03-01,538,3,365
"3550","China","tianjin",2020-03-01,136,3,111
"3551","China","tibet",2020-03-01,1,0,1
"3553","China","unknown",2020-03-01,0,0,0
"3557","China","xinjiang",2020-03-01,76,3,64
"3559","China","yunnan",2020-03-01,174,2,163
"3560","China","zhejiang",2020-03-01,1205,1,1046
"3563","China","anhui",2020-03-02,990,6,917
"3566","China","beijing",2020-03-02,414,8,282
"3573","China","chongqing",2020-03-02,576,6,469
"3581","China","fujian",2020-03-02,296,1,255
"3582","China","gansu",2020-03-02,91,2,85
"3587","China","guangdong",2020-03-02,1350,7,1059
"3588","China","guangxi",2020-03-02,252,2,192
"3590","China","guizhou",2020-03-02,146,2,114
"3591","China","hainan",2020-03-02,168,5,151
"3592","China","hebei",2020-03-02,318,6,296
"3593","China","heilongjiang",2020-03-02,480,13,356
"3594","China","henan",2020-03-02,1272,22,1205
"3595","China","hong kong",2020-03-02,100,2,36
"3596","China","hubei",2020-03-02,67103,2803,33934
"3597","China","hunan",2020-03-02,1018,4,887
"3598","China","inner mongolia",2020-03-02,75,0,54
"3601","China","jiangsu",2020-03-02,631,0,543
"3602","China","jiangxi",2020-03-02,935,1,850
"3603","China","jilin",2020-03-02,93,1,83
"3604","China","liaoning",2020-03-02,122,1,103
"3605","China","macau",2020-03-02,10,0,8
"3614","China","ningxia",2020-03-02,74,0,69
"3621","China","qinghai",2020-03-02,18,0,18
"3630","China","shaanxi",2020-03-02,245,1,216
"3631","China","shandong",2020-03-02,758,6,460
"3632","China","shanghai",2020-03-02,337,3,292
"3633","China","shanxi",2020-03-02,133,0,119
"3634","China","sichuan",2020-03-02,538,3,386
"3639","China","tianjin",2020-03-02,136,3,111
"3640","China","tibet",2020-03-02,1,0,1
"3642","China","unknown",2020-03-02,0,0,0
"3646","China","xinjiang",2020-03-02,76,3,66
"3648","China","yunnan",2020-03-02,174,2,168
"3649","China","zhejiang",2020-03-02,1206,1,1069
"3652","China","anhui",2020-03-03,990,6,936
"3655","China","beijing",2020-03-03,414,8,288
"3662","China","chongqing",2020-03-03,576,6,490
"3670","China","fujian",2020-03-03,296,1,260
"3671","China","gansu",2020-03-03,91,2,86
"3676","China","guangdong",2020-03-03,1350,7,1101
"3677","China","guangxi",2020-03-03,252,2,202
"3679","China","guizhou",2020-03-03,146,2,114
"3680","China","hainan",2020-03-03,168,5,155
"3681","China","hebei",2020-03-03,318,6,300
"3682","China","heilongjiang",2020-03-03,480,13,366
"3683","China","henan",2020-03-03,1272,22,1231
"3684","China","hong kong",2020-03-03,100,2,37
"3685","China","hubei",2020-03-03,67217,2835,36208
"3686","China","hunan",2020-03-03,1018,4,906
"3687","China","inner mongolia",2020-03-03,75,1,59
"3690","China","jiangsu",2020-03-03,631,0,562
"3691","China","jiangxi",2020-03-03,935,1,870
"3692","China","jilin",2020-03-03,93,1,83
"3693","China","liaoning",2020-03-03,125,1,106
"3694","China","macau",2020-03-03,10,0,9
"3703","China","ningxia",2020-03-03,74,0,69
"3710","China","qinghai",2020-03-03,18,0,18
"3719","China","shaanxi",2020-03-03,245,1,216
"3720","China","shandong",2020-03-03,758,6,511
"3721","China","shanghai",2020-03-03,338,3,294
"3722","China","shanxi",2020-03-03,133,0,124
"3723","China","sichuan",2020-03-03,538,3,394
"3728","China","tianjin",2020-03-03,136,3,124
"3729","China","tibet",2020-03-03,1,0,1
"3731","China","unknown",2020-03-03,0,0,0
"3735","China","xinjiang",2020-03-03,76,3,68
"3737","China","yunnan",2020-03-03,174,2,169
"3738","China","zhejiang",2020-03-03,1213,1,1093
"3741","China","anhui",2020-03-04,990,6,956
"3744","China","beijing",2020-03-04,418,8,297
"3751","China","chongqing",2020-03-04,576,6,502
"3759","China","fujian",2020-03-04,296,1,270
"3760","China","gansu",2020-03-04,91,2,87
"3765","China","guangdong",2020-03-04,1350,7,1133
"3766","China","guangxi",2020-03-04,252,2,210
"3768","China","guizhou",2020-03-04,146,2,114
"3769","China","hainan",2020-03-04,168,5,158
"3770","China","hebei",2020-03-04,318,6,301
"3771","China","heilongjiang",2020-03-04,480,13,373
"3772","China","henan",2020-03-04,1272,22,1234
"3773","China","hong kong",2020-03-04,105,2,37
"3774","China","hubei",2020-03-04,67332,2871,38557
"3775","China","hunan",2020-03-04,1018,4,916
"3776","China","inner mongolia",2020-03-04,75,1,63
"3779","China","jiangsu",2020-03-04,631,0,577
"3780","China","jiangxi",2020-03-04,935,1,884
"3781","China","jilin",2020-03-04,93,1,86
"3782","China","liaoning",2020-03-04,125,1,106
"3783","China","macau",2020-03-04,10,0,9
"3792","China","ningxia",2020-03-04,75,0,69
"3799","China","qinghai",2020-03-04,18,0,18
"3808","China","shaanxi",2020-03-04,245,1,223
"3809","China","shandong",2020-03-04,758,6,516
"3810","China","shanghai",2020-03-04,338,3,298
"3811","China","shanxi",2020-03-04,133,0,124
"3812","China","sichuan",2020-03-04,538,3,406
"3817","China","tianjin",2020-03-04,136,3,124
"3818","China","tibet",2020-03-04,1,0,1
"3820","China","unknown",2020-03-04,0,0,0
"3824","China","xinjiang",2020-03-04,76,3,69
"3826","China","yunnan",2020-03-04,174,2,169
"3827","China","zhejiang",2020-03-04,1213,1,1114
"3830","China","anhui",2020-03-05,990,6,970
"3833","China","beijing",2020-03-05,418,8,297
"3840","China","chongqing",2020-03-05,576,6,512
"3848","China","fujian",2020-03-05,296,1,277
"3849","China","gansu",2020-03-05,102,2,87
"3854","China","guangdong",2020-03-05,1351,7,1181
"3855","China","guangxi",2020-03-05,252,2,214
"3857","China","guizhou",2020-03-05,146,2,114
"3858","China","hainan",2020-03-05,168,6,158
"3859","China","hebei",2020-03-05,318,6,304
"3860","China","heilongjiang",2020-03-05,481,13,379
"3861","China","henan",2020-03-05,1272,22,1239
"3862","China","hong kong",2020-03-05,105,2,43
"3863","China","hubei",2020-03-05,67466,2902,40592
"3864","China","hunan",2020-03-05,1018,4,938
"3865","China","inner mongolia",2020-03-05,75,1,65
"3868","China","jiangsu",2020-03-05,631,0,583
"3869","China","jiangxi",2020-03-05,935,1,901
"3870","China","jilin",2020-03-05,93,1,88
"3871","China","liaoning",2020-03-05,125,1,106
"3872","China","macau",2020-03-05,10,0,9
"3881","China","ningxia",2020-03-05,75,0,69
"3888","China","qinghai",2020-03-05,18,0,18
"3897","China","shaanxi",2020-03-05,245,1,224
"3898","China","shandong",2020-03-05,758,6,578
"3899","China","shanghai",2020-03-05,339,3,303
"3900","China","shanxi",2020-03-05,133,0,126
"3901","China","sichuan",2020-03-05,539,3,425
"3906","China","tianjin",2020-03-05,136,3,128
"3907","China","tibet",2020-03-05,1,0,1
"3909","China","unknown",2020-03-05,0,0,0
"3913","China","xinjiang",2020-03-05,76,3,70
"3915","China","yunnan",2020-03-05,174,2,169
"3916","China","zhejiang",2020-03-05,1215,1,1124
"3919","China","anhui",2020-03-06,990,6,979
"3922","China","beijing",2020-03-06,422,8,299
"3929","China","chongqing",2020-03-06,576,6,513
"3937","China","fujian",2020-03-06,296,1,284
"3938","China","gansu",2020-03-06,119,2,87
"3943","China","guangdong",2020-03-06,1352,7,1216
"3944","China","guangxi",2020-03-06,252,2,217
"3946","China","guizhou",2020-03-06,146,2,114
"3947","China","hainan",2020-03-06,168,6,158
"3948","China","hebei",2020-03-06,318,6,305
"3949","China","heilongjiang",2020-03-06,481,13,396
"3950","China","henan",2020-03-06,1272,22,1244
"3951","China","hong kong",2020-03-06,107,2,46
"3952","China","hubei",2020-03-06,67592,2931,42033
"3953","China","hunan",2020-03-06,1018,4,955
"3954","China","inner mongolia",2020-03-06,75,1,65
"3957","China","jiangsu",2020-03-06,631,0,594
"3958","China","jiangxi",2020-03-06,935,1,909
"3959","China","jilin",2020-03-06,93,1,90
"3960","China","liaoning",2020-03-06,125,1,106
"3961","China","macau",2020-03-06,10,0,10
"3970","China","ningxia",2020-03-06,75,0,71
"3977","China","qinghai",2020-03-06,18,0,18
"3986","China","shaanxi",2020-03-06,245,1,226
"3987","China","shandong",2020-03-06,758,6,618
"3988","China","shanghai",2020-03-06,342,3,306
"3989","China","shanxi",2020-03-06,133,0,126
"3990","China","sichuan",2020-03-06,539,3,442
"3995","China","tianjin",2020-03-06,136,3,128
"3996","China","tibet",2020-03-06,1,0,1
"3998","China","unknown",2020-03-06,0,0,0
"4002","China","xinjiang",2020-03-06,76,3,71
"4004","China","yunnan",2020-03-06,174,2,170
"4005","China","zhejiang",2020-03-06,1215,1,1147
"4008","China","anhui",2020-03-07,990,6,979
"4011","China","beijing",2020-03-07,426,8,303
"4018","China","chongqing",2020-03-07,576,6,526
"4026","China","fujian",2020-03-07,296,1,295
"4027","China","gansu",2020-03-07,120,2,87
"4032","China","guangdong",2020-03-07,1352,7,1237
"4033","China","guangxi",2020-03-07,252,2,218
"4035","China","guizhou",2020-03-07,146,2,115
"4036","China","hainan",2020-03-07,168,6,158
"4037","China","hebei",2020-03-07,318,6,307
"4038","China","heilongjiang",2020-03-07,481,13,403
"4039","China","henan",2020-03-07,1272,22,1244
"4040","China","hong kong",2020-03-07,108,2,51
"4041","China","hubei",2020-03-07,67666,2959,43500
"4042","China","hunan",2020-03-07,1018,4,960
"4043","China","inner mongolia",2020-03-07,75,1,67
"4046","China","jiangsu",2020-03-07,631,0,606
"4047","China","jiangxi",2020-03-07,935,1,916
"4048","China","jilin",2020-03-07,93,1,90
"4049","China","liaoning",2020-03-07,125,1,107
"4050","China","macau",2020-03-07,10,0,10
"4059","China","ningxia",2020-03-07,75,0,71
"4066","China","qinghai",2020-03-07,18,0,18
"4075","China","shaanxi",2020-03-07,245,1,226
"4076","China","shandong",2020-03-07,758,6,627
"4077","China","shanghai",2020-03-07,342,3,313
"4078","China","shanxi",2020-03-07,133,0,126
"4079","China","sichuan",2020-03-07,539,3,454
"4084","China","tianjin",2020-03-07,136,3,128
"4085","China","tibet",2020-03-07,1,0,1
"4087","China","unknown",2020-03-07,0,0,0
"4091","China","xinjiang",2020-03-07,76,3,72
"4093","China","yunnan",2020-03-07,174,2,170
"4094","China","zhejiang",2020-03-07,1215,1,1154
"4097","China","anhui",2020-03-08,990,6,984
"4100","China","beijing",2020-03-08,428,8,308
"4107","China","chongqing",2020-03-08,576,6,527
"4115","China","fujian",2020-03-08,296,1,295
"4116","China","gansu",2020-03-08,124,2,87
"4121","China","guangdong",2020-03-08,1352,7,1256
"4122","China","guangxi",2020-03-08,252,2,223
"4124","China","guizhou",2020-03-08,146,2,117
"4125","China","hainan",2020-03-08,168,6,159
"4126","China","hebei",2020-03-08,318,6,307
"4127","China","heilongjiang",2020-03-08,481,13,412
"4128","China","henan",2020-03-08,1272,22,1247
"4129","China","hong kong",2020-03-08,114,3,58
"4130","China","hubei",2020-03-08,67707,2986,45235
"4131","China","hunan",2020-03-08,1018,4,968
"4132","China","inner mongolia",2020-03-08,75,1,70
"4135","China","jiangsu",2020-03-08,631,0,612
"4136","China","jiangxi",2020-03-08,935,1,919
"4137","China","jilin",2020-03-08,93,1,90
"4138","China","liaoning",2020-03-08,125,1,109
"4139","China","macau",2020-03-08,10,0,10
"4148","China","ningxia",2020-03-08,75,0,71
"4155","China","qinghai",2020-03-08,18,0,18
"4164","China","shaanxi",2020-03-08,245,1,227
"4165","China","shandong",2020-03-08,758,6,642
"4166","China","shanghai",2020-03-08,342,3,314
"4167","China","shanxi",2020-03-08,133,0,126
"4168","China","sichuan",2020-03-08,539,3,464
"4173","China","tianjin",2020-03-08,136,3,128
"4174","China","tibet",2020-03-08,1,0,1
"4176","China","unknown",2020-03-08,0,0,0
"4180","China","xinjiang",2020-03-08,76,3,73
"4182","China","yunnan",2020-03-08,174,2,170
"4183","China","zhejiang",2020-03-08,1215,1,1161
"4186","China","anhui",2020-03-09,990,6,984
"4189","China","beijing",2020-03-09,428,8,315
"4196","China","chongqing",2020-03-09,576,6,542
"4204","China","fujian",2020-03-09,296,1,295
"4205","China","gansu",2020-03-09,124,2,88
"4210","China","guangdong",2020-03-09,1352,8,1260
"4211","China","guangxi",2020-03-09,252,2,230
"4213","China","guizhou",2020-03-09,146,2,123
"4214","China","hainan",2020-03-09,168,6,159
"4215","China","hebei",2020-03-09,318,6,307
"4216","China","heilongjiang",2020-03-09,481,13,430
"4217","China","henan",2020-03-09,1272,22,1247
"4218","China","hong kong",2020-03-09,115,3,59
"4219","China","hubei",2020-03-09,67743,3008,46488
"4220","China","hunan",2020-03-09,1018,4,979
"4221","China","inner mongolia",2020-03-09,75,1,70
"4224","China","jiangsu",2020-03-09,631,0,621
"4225","China","jiangxi",2020-03-09,935,1,923
"4226","China","jilin",2020-03-09,93,1,91
"4227","China","liaoning",2020-03-09,125,1,109
"4228","China","macau",2020-03-09,10,0,10
"4237","China","ningxia",2020-03-09,75,0,71
"4244","China","qinghai",2020-03-09,18,0,18
"4253","China","shaanxi",2020-03-09,245,1,227
"4254","China","shandong",2020-03-09,758,6,700
"4255","China","shanghai",2020-03-09,342,3,315
"4256","China","shanxi",2020-03-09,133,0,127
"4257","China","sichuan",2020-03-09,539,3,466
"4262","China","tianjin",2020-03-09,136,3,130
"4263","China","tibet",2020-03-09,1,0,1
"4265","China","unknown",2020-03-09,0,0,0
"4269","China","xinjiang",2020-03-09,76,3,73
"4271","China","yunnan",2020-03-09,174,2,170
"4272","China","zhejiang",2020-03-09,1215,1,1176
"4275","China","anhui",2020-03-10,990,6,984
"4278","China","beijing",2020-03-10,429,8,320
"4285","China","chongqing",2020-03-10,576,6,547
"4293","China","fujian",2020-03-10,296,1,295
"4294","China","gansu",2020-03-10,125,2,88
"4299","China","guangdong",2020-03-10,1353,8,1274
"4300","China","guangxi",2020-03-10,252,2,234
"4302","China","guizhou",2020-03-10,146,2,129
"4303","China","hainan",2020-03-10,168,6,159
"4304","China","hebei",2020-03-10,318,6,307
"4305","China","heilongjiang",2020-03-10,481,13,434
"4306","China","henan",2020-03-10,1272,22,1247
"4307","China","hong kong",2020-03-10,120,3,65
"4308","China","hubei",2020-03-10,67760,3024,47743
"4309","China","hunan",2020-03-10,1018,4,990
"4310","China","inner mongolia",2020-03-10,75,1,70
"4313","China","jiangsu",2020-03-10,631,0,627
"4314","China","jiangxi",2020-03-10,935,1,927
"4315","China","jilin",2020-03-10,93,1,91
"4316","China","liaoning",2020-03-10,125,1,111
"4317","China","macau",2020-03-10,10,0,10
"4326","China","ningxia",2020-03-10,75,0,71
"4333","China","qinghai",2020-03-10,18,0,18
"4342","China","shaanxi",2020-03-10,245,1,227
"4343","China","shandong",2020-03-10,758,6,719
"4344","China","shanghai",2020-03-10,344,3,319
"4345","China","shanxi",2020-03-10,133,0,131
"4346","China","sichuan",2020-03-10,539,3,478
"4351","China","tianjin",2020-03-10,136,3,131
"4352","China","tibet",2020-03-10,1,0,1
"4354","China","unknown",2020-03-10,0,0,0
"4358","China","xinjiang",2020-03-10,76,3,73
"4360","China","yunnan",2020-03-10,174,2,170
"4361","China","zhejiang",2020-03-10,1215,1,1191
"4364","China","anhui",2020-03-11,990,6,984
"4367","China","beijing",2020-03-11,435,8,326
"4374","China","chongqing",2020-03-11,576,6,554
"4382","China","fujian",2020-03-11,296,1,295
"4383","China","gansu",2020-03-11,127,2,88
"4388","China","guangdong",2020-03-11,1356,8,1282
"4389","China","guangxi",2020-03-11,252,2,238
"4391","China","guizhou",2020-03-11,146,2,133
"4392","China","hainan",2020-03-11,168,6,159
"4393","China","hebei",2020-03-11,318,6,307
"4394","China","heilongjiang",2020-03-11,482,13,436
"4395","China","henan",2020-03-11,1273,22,1249
"4396","China","hong kong",2020-03-11,126,3,65
"4397","China","hubei",2020-03-11,67773,3046,49134
"4398","China","hunan",2020-03-11,1018,4,995
"4399","China","inner mongolia",2020-03-11,75,1,71
"4402","China","jiangsu",2020-03-11,631,0,627
"4403","China","jiangxi",2020-03-11,935,1,932
"4404","China","jilin",2020-03-11,93,1,91
"4405","China","liaoning",2020-03-11,125,1,111
"4406","China","macau",2020-03-11,10,0,10
"4415","China","ningxia",2020-03-11,75,0,72
"4422","China","qinghai",2020-03-11,18,0,18
"4431","China","shaanxi",2020-03-11,245,1,232
"4432","China","shandong",2020-03-11,760,6,726
"4433","China","shanghai",2020-03-11,344,3,320
"4434","China","shanxi",2020-03-11,133,0,131
"4435","China","sichuan",2020-03-11,539,3,488
"4440","China","tianjin",2020-03-11,136,3,131
"4441","China","tibet",2020-03-11,1,0,1
"4443","China","unknown",2020-03-11,0,0,0
"4447","China","xinjiang",2020-03-11,76,3,73
"4449","China","yunnan",2020-03-11,174,2,170
"4450","China","zhejiang",2020-03-11,1215,1,1195
"4453","China","anhui",2020-03-12,990,6,984
"4456","China","beijing",2020-03-12,435,8,334
"4463","China","chongqing",2020-03-12,576,6,564
"4471","China","fujian",2020-03-12,296,1,295
"4472","China","gansu",2020-03-12,127,2,88
"4477","China","guangdong",2020-03-12,1356,8,1289
"4478","China","guangxi",2020-03-12,252,2,241
"4480","China","guizhou",2020-03-12,146,2,137
"4481","China","hainan",2020-03-12,168,6,160
"4482","China","hebei",2020-03-12,318,6,308
"4483","China","heilongjiang",2020-03-12,482,13,441
"4484","China","henan",2020-03-12,1273,22,1249
"4485","China","hong kong",2020-03-12,129,3,67
"4486","China","hubei",2020-03-12,67781,3056,50318
"4487","China","hunan",2020-03-12,1018,4,999
"4488","China","inner mongolia",2020-03-12,75,1,71
"4491","China","jiangsu",2020-03-12,631,0,629
"4492","China","jiangxi",2020-03-12,935,1,934
"4493","China","jilin",2020-03-12,93,1,91
"4494","China","liaoning",2020-03-12,125,1,112
"4495","China","macau",2020-03-12,10,0,10
"4504","China","ningxia",2020-03-12,75,0,72
"4511","China","qinghai",2020-03-12,18,0,18
"4520","China","shaanxi",2020-03-12,245,2,232
"4521","China","shandong",2020-03-12,760,6,734
"4522","China","shanghai",2020-03-12,344,3,321
"4523","China","shanxi",2020-03-12,133,0,132
"4524","China","sichuan",2020-03-12,539,3,498
"4529","China","tianjin",2020-03-12,136,3,132
"4530","China","tibet",2020-03-12,1,0,1
"4532","China","unknown",2020-03-12,0,0,0
"4536","China","xinjiang",2020-03-12,76,3,73
"4538","China","yunnan",2020-03-12,174,2,170
"4539","China","zhejiang",2020-03-12,1215,1,1197
"4542","China","anhui",2020-03-13,990,6,984
"4545","China","beijing",2020-03-13,436,8,342
"4552","China","chongqing",2020-03-13,576,6,566
"4560","China","fujian",2020-03-13,296,1,295
"4561","China","gansu",2020-03-13,127,2,88
"4566","China","guangdong",2020-03-13,1356,8,1296
"4567","China","guangxi",2020-03-13,252,2,243
"4569","China","guizhou",2020-03-13,146,2,140
"4570","China","hainan",2020-03-13,168,6,160
"4571","China","hebei",2020-03-13,318,6,310
"4572","China","heilongjiang",2020-03-13,482,13,446
"4573","China","henan",2020-03-13,1273,22,1249
"4574","China","hong kong",2020-03-13,134,4,77
"4575","China","hubei",2020-03-13,67786,3062,51553
"4576","China","hunan",2020-03-13,1018,4,1005
"4577","China","inner mongolia",2020-03-13,75,1,71
"4580","China","jiangsu",2020-03-13,631,0,630
"4581","China","jiangxi",2020-03-13,935,1,934
"4582","China","jilin",2020-03-13,93,1,91
"4583","China","liaoning",2020-03-13,125,1,112
"4584","China","macau",2020-03-13,10,0,10
"4593","China","ningxia",2020-03-13,75,0,72
"4600","China","qinghai",2020-03-13,18,0,18
"4609","China","shaanxi",2020-03-13,245,2,232
"4610","China","shandong",2020-03-13,760,7,739
"4611","China","shanghai",2020-03-13,346,3,324
"4612","China","shanxi",2020-03-13,133,0,133
"4613","China","sichuan",2020-03-13,539,3,503
"4618","China","tianjin",2020-03-13,136,3,132
"4619","China","tibet",2020-03-13,1,0,1
"4621","China","unknown",2020-03-13,0,0,0
"4625","China","xinjiang",2020-03-13,76,3,73
"4627","China","yunnan",2020-03-13,174,2,170
"4628","China","zhejiang",2020-03-13,1215,1,1197
"4631","China","anhui",2020-03-14,990,6,984
"4634","China","beijing",2020-03-14,437,8,349
"4641","China","chongqing",2020-03-14,576,6,569
"4649","China","fujian",2020-03-14,296,1,295
"4650","China","gansu",2020-03-14,129,2,89
"4655","China","guangdong",2020-03-14,1356,8,1299
"4656","China","guangxi",2020-03-14,252,2,243
"4658","China","guizhou",2020-03-14,146,2,143
"4659","China","hainan",2020-03-14,168,6,160
"4660","China","hebei",2020-03-14,318,6,310
"4661","China","heilongjiang",2020-03-14,482,13,447
"4662","China","henan",2020-03-14,1273,22,1250
"4663","China","hong kong",2020-03-14,140,4,78
"4664","China","hubei",2020-03-14,67790,3075,52960
"4665","China","hunan",2020-03-14,1018,4,1014
"4666","China","inner mongolia",2020-03-14,75,1,71
"4669","China","jiangsu",2020-03-14,631,0,630
"4670","China","jiangxi",2020-03-14,935,1,934
"4671","China","jilin",2020-03-14,93,1,91
"4672","China","liaoning",2020-03-14,125,1,113
"4673","China","macau",2020-03-14,10,0,10
"4682","China","ningxia",2020-03-14,75,0,73
"4689","China","qinghai",2020-03-14,18,0,18
"4698","China","shaanxi",2020-03-14,245,2,232
"4699","China","shandong",2020-03-14,760,7,741
"4700","China","shanghai",2020-03-14,353,3,324
"4701","China","shanxi",2020-03-14,133,0,133
"4702","China","sichuan",2020-03-14,539,3,511
"4707","China","tianjin",2020-03-14,136,3,132
"4708","China","tibet",2020-03-14,1,0,1
"4710","China","unknown",2020-03-14,0,0,0
"4714","China","xinjiang",2020-03-14,76,3,73
"4716","China","yunnan",2020-03-14,174,2,172
"4717","China","zhejiang",2020-03-14,1227,1,1211
"4720","China","anhui",2020-03-15,990,6,984
"4723","China","beijing",2020-03-15,442,8,353
"4730","China","chongqing",2020-03-15,576,6,570
"4738","China","fujian",2020-03-15,296,1,295
"4739","China","gansu",2020-03-15,133,2,91
"4744","China","guangdong",2020-03-15,1360,8,1304
"4745","China","guangxi",2020-03-15,252,2,243
"4747","China","guizhou",2020-03-15,146,2,143
"4748","China","hainan",2020-03-15,168,6,160
"4749","China","hebei",2020-03-15,318,6,310
"4750","China","heilongjiang",2020-03-15,482,13,453
"4751","China","henan",2020-03-15,1273,22,1250
"4752","China","hong kong",2020-03-15,145,4,81
"4753","China","hubei",2020-03-15,67794,3085,54288
"4754","China","hunan",2020-03-15,1018,4,1014
"4755","China","inner mongolia",2020-03-15,75,1,71
"4758","China","jiangsu",2020-03-15,631,0,631
"4759","China","jiangxi",2020-03-15,935,1,934
"4760","China","jilin",2020-03-15,93,1,91
"4761","China","liaoning",2020-03-15,125,1,114
"4762","China","macau",2020-03-15,10,0,10
"4771","China","ningxia",2020-03-15,75,0,73
"4778","China","qinghai",2020-03-15,18,0,18
"4787","China","shaanxi",2020-03-15,245,2,232
"4788","China","shandong",2020-03-15,760,7,741
"4789","China","shanghai",2020-03-15,353,3,324
"4790","China","shanxi",2020-03-15,133,0,133
"4791","China","sichuan",2020-03-15,539,3,516
"4796","China","tianjin",2020-03-15,136,3,133
"4797","China","tibet",2020-03-15,1,0,1
"4799","China","unknown",2020-03-15,0,0,0
"4803","China","xinjiang",2020-03-15,76,3,73
"4805","China","yunnan",2020-03-15,174,2,172
"4806","China","zhejiang",2020-03-15,1231,1,1211
"4809","China","anhui",2020-03-16,990,6,984
"4812","China","beijing",2020-03-16,452,8,360
"4819","China","chongqing",2020-03-16,576,6,570
"4827","China","fujian",2020-03-16,296,1,295
"4828","China","gansu",2020-03-16,133,2,91
"4833","China","guangdong",2020-03-16,1361,8,1306
"4834","China","guangxi",2020-03-16,252,2,248
"4836","China","guizhou",2020-03-16,146,2,144
"4837","China","hainan",2020-03-16,168,6,161
"4838","China","hebei",2020-03-16,318,6,310
"4839","China","heilongjiang",2020-03-16,482,13,455
"4840","China","henan",2020-03-16,1273,22,1250
"4841","China","hong kong",2020-03-16,155,4,84
"4842","China","hubei",2020-03-16,67798,3099,55142
"4843","China","hunan",2020-03-16,1018,4,1014
"4844","China","inner mongolia",2020-03-16,75,1,73
"4847","China","jiangsu",2020-03-16,631,0,631
"4848","China","jiangxi",2020-03-16,935,1,934
"4849","China","jilin",2020-03-16,93,1,92
"4850","China","liaoning",2020-03-16,125,1,115
"4851","China","macau",2020-03-16,11,0,10
"4860","China","ningxia",2020-03-16,75,0,75
"4867","China","qinghai",2020-03-16,18,0,18
"4876","China","shaanxi",2020-03-16,245,2,233
"4877","China","shandong",2020-03-16,760,7,746
"4878","China","shanghai",2020-03-16,355,3,325
"4879","China","shanxi",2020-03-16,133,0,133
"4880","China","sichuan",2020-03-16,539,3,516
"4885","China","tianjin",2020-03-16,136,3,133
"4886","China","tibet",2020-03-16,1,0,1
"4888","China","unknown",2020-03-16,0,0,0
"4892","China","xinjiang",2020-03-16,76,3,73
"4894","China","yunnan",2020-03-16,176,2,172
"4895","China","zhejiang",2020-03-16,1231,1,1216
"4898","China","anhui",2020-03-17,990,6,984
"4901","China","beijing",2020-03-17,456,8,369
"4908","China","chongqing",2020-03-17,576,6,570
"4916","China","fujian",2020-03-17,296,1,295
"4917","China","gansu",2020-03-17,133,2,91
"4922","China","guangdong",2020-03-17,1364,8,1307
"4923","China","guangxi",2020-03-17,253,2,248
"4925","China","guizhou",2020-03-17,147,2,144
"4926","China","hainan",2020-03-17,168,6,161
"4927","China","hebei",2020-03-17,318,6,310
"4928","China","heilongjiang",2020-03-17,482,13,456
"4929","China","henan",2020-03-17,1273,22,1250
"4930","China","hong kong",2020-03-17,162,4,88
"4931","China","hubei",2020-03-17,67799,3111,56003
"4932","China","hunan",2020-03-17,1018,4,1014
"4933","China","inner mongolia",2020-03-17,75,1,73
"4936","China","jiangsu",2020-03-17,631,0,631
"4937","China","jiangxi",2020-03-17,935,1,934
