"country","province","date","cases","deaths","recovered"
"1418","Australia","victoria",2020-02-06,4,0,0
"1420","Australia","western australia",2020-02-06,0,0,0
"1429","Australia","australian capital territory",2020-02-07,0,0,0
"1476","Australia","new south wales",2020-02-07,4,0,2
"1479","Australia","northern territory",2020-02-07,0,0,0
"1487","Australia","queensland",2020-02-07,5,0,0
"1500","Australia","south australia",2020-02-07,2,0,0
"1502","Australia","tasmania",2020-02-07,0,0,0
"1507","Australia","victoria",2020-02-07,4,0,0
"1509","Australia","western australia",2020-02-07,0,0,0
"1518","Australia","australian capital territory",2020-02-08,0,0,0
"1565","Australia","new south wales",2020-02-08,4,0,2
"1568","Australia","northern territory",2020-02-08,0,0,0
"1576","Australia","queensland",2020-02-08,5,0,0
"1589","Australia","south australia",2020-02-08,2,0,0
"1591","Australia","tasmania",2020-02-08,0,0,0
"1596","Australia","victoria",2020-02-08,4,0,0
"1598","Australia","western australia",2020-02-08,0,0,0
"1607","Australia","australian capital territory",2020-02-09,0,0,0
"1654","Australia","new south wales",2020-02-09,4,0,2
"1657","Australia","northern territory",2020-02-09,0,0,0
"1665","Australia","queensland",2020-02-09,5,0,0
"1678","Australia","south australia",2020-02-09,2,0,0
"1680","Australia","tasmania",2020-02-09,0,0,0
"1685","Australia","victoria",2020-02-09,4,0,0
"1687","Australia","western australia",2020-02-09,0,0,0
"1696","Australia","australian capital territory",2020-02-10,0,0,0
"1743","Australia","new south wales",2020-02-10,4,0,2
"1746","Australia","northern territory",2020-02-10,0,0,0
"1754","Australia","queensland",2020-02-10,5,0,0
"1767","Australia","south australia",2020-02-10,2,0,0
"1769","Australia","tasmania",2020-02-10,0,0,0
"1774","Australia","victoria",2020-02-10,4,0,0
"1776","Australia","western australia",2020-02-10,0,0,0
"1785","Australia","australian capital territory",2020-02-11,0,0,0
"1832","Australia","new south wales",2020-02-11,4,0,2
"1835","Australia","northern territory",2020-02-11,0,0,0
"1843","Australia","queensland",2020-02-11,5,0,0
"1856","Australia","south australia",2020-02-11,2,0,0
